Unnamed: 0,subject_id,image_name,document_type,S64.Q95.M,S64.Q95.M_marginalia,S64.Q96.M,S64.Q96.M_marginalia,S64.Q97.F,S64.Q97.C_1,S64.Q97.C_2,S64.Q97.C_3,S64.Q97.C_4,S64.Q97.C_5,S64.Q97.Full
1374,"15868523, 15868527","2521127-17-0341.jpg, 2521127-17-0342.jpg","A document that contains three questions (Q.95, Q.96 and Q.97), A continuation page",I have had my fair share of passes but not furloughs,,Things are a little worse,,"This army is supposed to be the best well fed, clothed, payed army in the world. It is well clothed & payed but food is rotten, no 1st aid unless you are almost dead, no cooperation from 1st Sgt (to old) some officers, & non coms. After all they should have more furloughs to keep up morale even though it is wartime. Positively it could be Ft. Leonard Wood, Mo. 75th Division","a whole lot better army then it is. At this camp the only way you can make good is kiss all the non coms + officer's tail, or else you are just no good. You can't make good. There [deletion] are [/deletion] is to much partiality giving to certain men. Some don't get the chance they should. Also they never notice the good things you do, it's always the bad then you don't get the chance you need + want. Although we are not yellow we have sweethearts as myself at home familys Mothers, fathers, brothers + sister, and wives. We need more chances to show what we can do and less chances to show what we can't do.",,,,,"This army is supposed to be the best well fed, clothed, payed army in the world. It is well clothed & payed but food is rotten, no 1st aid unless you are almost dead, no cooperation from 1st Sgt (to old) some officers, & non coms. After all they should have more furloughs to keep up morale even though it is wartime. Positively it could be Ft. Leonard Wood, Mo. 75th Division a whole lot better army then it is. At this camp the only way you can make good is kiss all the non coms + officer's tail, or else you are just no good. You can't make good. There [deletion] are [/deletion] is to much partiality giving to certain men. Some don't get the chance they should. Also they never notice the good things you do, it's always the bad then you don't get the chance you need + want. Although we are not yellow we have sweethearts as myself at home familys Mothers, fathers, brothers + sister, and wives. We need more chances to show what we can do and less chances to show what we can't do."
1375,"15868532, 15868536","2521127-17-0343.jpg, 2521127-17-0344.jpg","A document that contains three questions (Q.95, Q.96 and Q.97), A continuation page","Yes, I have had my fair share of both furloughs and passes",,Things are a little worse,,"about the non-coms. Do you think it is right to make a soldier a non-com, who has been in this camp for three months two & one half of which he was in the hospital I thought after a person got a pair of stripes, he earned it, and was deserving of it. but as all it is around here is a [unclear] [/unclear] . They made two noncoms just that way. There's another one who was made a noncom who played catcher on the [unclear] [/unclear] team. (he was [unclear] [/unclear] too!) The least liked ","him so Le made it too. Because of this, the men take their orders unwillingly and that isn't so good. Something should be done. [paragraph] One thing that is to be reminded, is, that these questions, i.e. most of them, are answered on the view my being transferred to the air Corp. [paragraph] Another thing about our Company: - we rise at five, come off the field at 11:30 eat chow, go back out on the field at 1:00 come back at 5:30 eat chow, and then we have a detail that will last up to 11:00 at night. We cannot get our personal work done, then they wonder why we are not on the ball in the morning. Something should be done. [paragraph] Why can't a private have a Class ""A"" pass after his basic training is over? For the little time he will be here, it's the least thing that the Army can give to him. But not until he shows that he deserves it. ",,,,,"about the non-coms. Do you think it is right to make a soldier a non-com, who has been in this camp for three months two & one half of which he was in the hospital I thought after a person got a pair of stripes, he earned it, and was deserving of it. but as all it is around here is a [unclear] [/unclear] . They made two noncoms just that way. There's another one who was made a noncom who played catcher on the [unclear] [/unclear] team. (he was [unclear] [/unclear] too!) The least liked  him so Le made it too. Because of this, the men take their orders unwillingly and that isn't so good. Something should be done. [paragraph] One thing that is to be reminded, is, that these questions, i.e. most of them, are answered on the view my being transferred to the air Corp. [paragraph] Another thing about our Company: - we rise at five, come off the field at 11:30 eat chow, go back out on the field at 1:00 come back at 5:30 eat chow, and then we have a detail that will last up to 11:00 at night. We cannot get our personal work done, then they wonder why we are not on the ball in the morning. Something should be done. [paragraph] Why can't a private have a Class ""A"" pass after his basic training is over? For the little time he will be here, it's the least thing that the Army can give to him. But not until he shows that he deserves it."
1376,15868540,2521127-17-0345.jpg,"A document that contains three questions (Q.95, Q.96 and Q.97)",I have had my fair share of passes but not furloughs,,Don't know,,The army could be better in lots of way [ways] if we all would get together and not work to hurt the other man.,,,,,,The army could be better in lots of way [ways] if we all would get together and not work to hurt the other man.
1377,15868545,2521127-17-0346.jpg,"A document that contains three questions (Q.95, Q.96 and Q.97)",I have had my fair share of passes but not furloughs,,Things are a little worse,,We have to [too] many unneeded inspections when we should be having more time off. Working to [too] late hours on uneed [sic] details.,,,,,,We have to [too] many unneeded inspections when we should be having more time off. Working to [too] late hours on uneed [sic] details.
1378,"15868549, 15868553","2521127-17-0347.jpg, 2521127-17-0348.jpg","A document that contains three questions (Q.95, Q.96 and Q.97), A continuation page",Other/No answer,I could have had more passes. Furloughs are not in order right now. ,Things are a little worse,,"Well sir, in my case it would have been better for me to have been home a little while longer before being sent to camp. But I am not complaining. I think a five day furlough is rather short for some people could use a few more days well at home. Business reasons etc. A week before coming to ",the army is rather short especially when you have homes etc to straighten out for the duration of the war.,,,,,"Well sir, in my case it would have been better for me to have been home a little while longer before being sent to camp. But I am not complaining. I think a five day furlough is rather short for some people could use a few more days well at home. Business reasons etc. A week before coming to  the army is rather short especially when you have homes etc to straighten out for the duration of the war."
1379,"15868557, 15868562","2521127-17-0349.jpg, 2521127-17-0350.jpg","A document that contains three questions (Q.95, Q.96 and Q.97), A continuation page",I have had my fair share of passes but not furloughs,,Things are a little worse,,"A few place the question was did I think I would do better as a war worker or as a soldier. [unclear] Wr [/unclear] I gave the answer as a war worker. The reason is I would be closer to my wife, although I don't care so much about being in the army, I am very proud to be able to wear the U.S. uniform. But I think it is alright to draft married men and train them but they ought not to be sent across until they have to. Out ",I am willing to fight for my country until I die if I have to. I had rather it be that way than to have my wife and family to have to live in a slave world. Personally I don't think we will live in a slave world as long as there is an american left. Including wives and children. Most of us american boys hate war but we will give the enemy hell as long as we are able to do it and I know we will be able to do it.,,,,,"A few place the question was did I think I would do better as a war worker or as a soldier. [unclear] Wr [/unclear] I gave the answer as a war worker. The reason is I would be closer to my wife, although I don't care so much about being in the army, I am very proud to be able to wear the U.S. uniform. But I think it is alright to draft married men and train them but they ought not to be sent across until they have to. Out  I am willing to fight for my country until I die if I have to. I had rather it be that way than to have my wife and family to have to live in a slave world. Personally I don't think we will live in a slave world as long as there is an american left. Including wives and children. Most of us american boys hate war but we will give the enemy hell as long as we are able to do it and I know we will be able to do it."
1380,15868567,2521127-17-0351.jpg,"A document that contains three questions (Q.95, Q.96 and Q.97)",I have had my fair share of furloughs but not passes,,"Things are a little better, but not much",,This camp is just no good. In the first place it is not near enough to a large town or city where we can enjoy ourselves like some other camps are situated. Another reason is that first they tell you to do one thing and the next minute they tell you to go another. Before the day is ended we go almost crazy.,,,,,,This camp is just no good. In the first place it is not near enough to a large town or city where we can enjoy ourselves like some other camps are situated. Another reason is that first they tell you to do one thing and the next minute they tell you to go another. Before the day is ended we go almost crazy.
1381,"15868572, 15868577","2521127-17-0352.jpg, 2521127-17-0353.jpg","A document that contains three questions (Q.95, Q.96 and Q.97), A continuation page","No, I have not had my fair share of either furloughs or passes",,I don't see any difference,,"I will start out saying I don't like the way the infantry is runned but, I wouldn't want them back home to know this, because then they would worry, but since I am here there not much I can do about it only tell them back home I like it. Here we don't get hardly any time off. When we suppose to get off they always","find something for you to do. For a while I got a pass 3 weeks in a roll, but since then I haven't had a week end off in 4 weeks alway putting me on a detail, and I don't see any reason for it. But I don't mind going on, but when the keep putting you on every week end then its time to holler. If they let you off once in a while, I might think more of the branch I'm in, but I'm getting to a point where I am getting tired of it a whole lot. I do know boys here that haven't even had a week end pass. Maybe it's mostly there fault but not all of it. I think the whole outfit could be even a little better, and show what we can really do. If they only give you a chance that's all I got to say.",,,,,"I will start out saying I don't like the way the infantry is runned but, I wouldn't want them back home to know this, because then they would worry, but since I am here there not much I can do about it only tell them back home I like it. Here we don't get hardly any time off. When we suppose to get off they always find something for you to do. For a while I got a pass 3 weeks in a roll, but since then I haven't had a week end off in 4 weeks alway putting me on a detail, and I don't see any reason for it. But I don't mind going on, but when the keep putting you on every week end then its time to holler. If they let you off once in a while, I might think more of the branch I'm in, but I'm getting to a point where I am getting tired of it a whole lot. I do know boys here that haven't even had a week end pass. Maybe it's mostly there fault but not all of it. I think the whole outfit could be even a little better, and show what we can really do. If they only give you a chance that's all I got to say."
1382,15868583,2521127-17-0354.jpg,"A document that contains three questions (Q.95, Q.96 and Q.97)",I have had my fair share of passes but not furloughs,,"Things are a little better, but not much",,I think that if us men had a little more time off at night. The week end passes or OK but when a man comes in from a hard days work he likes to be free a little. I get it off but not much nights we come in we haft to work cleaning the barracks I think that not [deletion] f [/deletion] fair to us.,,,,,,I think that if us men had a little more time off at night. The week end passes or OK but when a man comes in from a hard days work he likes to be free a little. I get it off but not much nights we come in we haft to work cleaning the barracks I think that not [deletion] f [/deletion] fair to us.
1383,15868586,2521127-17-0355.jpg,"A document that contains three questions (Q.95, Q.96 and Q.97)","No, I have not had my fair share of either furloughs or passes",,"Things are a little better, but not much",,"My honest opionion is that a soldier should [deletion] now [/deletion] have more recreation + time off after retreat because if he don't it lowers the moral of the men + many get angry + some even go AWOL, because here in the Infantry you work to much on details way in the middle of the night + [underline] no [/underline] time for recreation.",,,,,,"My honest opionion is that a soldier should [deletion] now [/deletion] have more recreation + time off after retreat because if he don't it lowers the moral of the men + many get angry + some even go AWOL, because here in the Infantry you work to much on details way in the middle of the night + [underline] no [/underline] time for recreation."
1384,"15868593, 15868597","2521127-17-0356.jpg, 2521127-17-0357.jpg","A document that contains three questions (Q.95, Q.96 and Q.97), A continuation page",I have had my fair share of passes but not furloughs,,Things are a lot better,,I think it would make ti a better army if a [deletion] pri [/deletion] an enlisted man could have his family on his post an given some kind of job. More pay so we can afford to get married although we are soldiers. [paragraph] The young boys that are soldiers and are about to get married and can't on account of living conditions thats what makes a great increase on AWOL's and desertion. Although he is no soldiers,... if he does.,,,,,I think it would make ti a better army if a [deletion] pri [/deletion] an enlisted man could have his family on his post an given some kind of job. More pay so we can afford to get married although we are soldiers. [paragraph] The young boys that are soldiers and are about to get married and can't on account of living conditions thats what makes a great increase on AWOL's and desertion. Although he is no soldiers ... if he does.
1385,"15868605, 15868607","2521127-17-0358.jpg, 2521127-17-0359.jpg","A document that contains three questions (Q.95, Q.96 and Q.97), A continuation page",I have had my fair share of passes but not furloughs,,I don't see any difference,,"I made some comments about the noncoms, put in my squad in my platoon our squad leaders one of the best, also our platoon Sargent [Sergeant] is all right, its just the other squad leaders that have let thier [their] jobs go to thier [their] heads that I do not like. I cannot kick about our first Sarge as he is one of the best, but the other platoon leaders I do not like.",Another thing I think is totaly [totally] wrong and that is their [their] system of K.P. Pertickulary [Particularly] in my camp we sometimes put in 20 are [or] more straight hr's [hours] sometimes getting off as late at night as 2 AM. Then they [unclear] [/unclear] us out at 5 for the days work. I would suggest the shift be split no one man working over a certain amount of time are to get the following morning off.,,,,,"I made some comments about the noncoms, put in my squad in my platoon our squad leaders one of the best, also our platoon Sargent [Sergeant] is all right, its just the other squad leaders that have let thier [their] jobs go to thier [their] heads that I do not like. I cannot kick about our first Sarge as he is one of the best, but the other platoon leaders I do not like. Another thing I think is totaly [totally] wrong and that is their [their] system of K.P. Pertickulary [Particularly] in my camp we sometimes put in 20 are [or] more straight hr's [hours] sometimes getting off as late at night as 2 AM. Then they [unclear] [/unclear] us out at 5 for the days work. I would suggest the shift be split no one man working over a certain amount of time are to get the following morning off."
1386,15868611,2521127-17-0360.jpg,"A document that contains three questions (Q.95, Q.96 and Q.97)","No, I have not had my fair share of either furloughs or passes",,Things are a little worse,,"Why is it that an order that could be given the day before is held up until the last minute when it is almost impossible to carry out the order. Then if you fail to carry out the order and complete you catch holy hell, this done quite often at this camp.",,,,,,"Why is it that an order that could be given the day before is held up until the last minute when it is almost impossible to carry out the order. Then if you fail to carry out the order and complete you catch holy hell, this done quite often at this camp."
1387,15868617,2521127-17-0361.jpg,"A document that contains three questions (Q.95, Q.96 and Q.97)","Yes, I have had my fair share of both furloughs and passes",,Things are a lot better,,"The food is good, but treated & made in a sloppy fashion. The overseas caps make a woolen Ord. uniform look crummy, I think the Garrison hat & belt would improve it.",,,,,,"The food is good, but treated & made in a sloppy fashion. The overseas caps make a woolen Ord. uniform look crummy, I think the Garrison hat & belt would improve it."
1388,15868619,2521127-17-0362.jpg,"A document that contains three questions (Q.95, Q.96 and Q.97)","No, I have not had my fair share of either furloughs or passes",,"Things are a little better, but not much",,Some of the Officers could be better they [insertion] don't [/insertion] know how to handle men and understand them and we don't get enough time off after working hours.,,,,,,Some of the Officers could be better they [insertion] don't [/insertion] know how to handle men and understand them and we don't get enough time off after working hours.
1389,15868626,2521127-17-0363.jpg,"A document that contains three questions (Q.95, Q.96 and Q.97)",I have had my fair share of furloughs but not passes,,"Things are a little better, but not much",,Just my thanks for being one of the lucky ones to fill out this sheet. I take it a privilege more than just something extra to do.,,,,,,Just my thanks for being one of the lucky ones to fill out this sheet. I take it a privilege more than just something extra to do.
1390,15868633,2521127-17-0364.jpg,"A document that contains three questions (Q.95, Q.96 and Q.97)","No, I have not had my fair share of either furloughs or passes",,Things are a lot worse,,The Army should give you a chance in some of a persons own trade that he can be more willing. I do a hell of a lot better in the army. [paragraph] When a person is suppose to have evenings off they put a fellow on detail.,,,,,,The Army should give you a chance in some of a persons own trade that he can be more willing. I do a hell of a lot better in the army. [paragraph] When a person is suppose to have evenings off they put a fellow on detail.
1391,"15868635, 15868640","2521127-17-0365.jpg, 2521127-17-0366.jpg","A document that contains three questions (Q.95, Q.96 and Q.97), A continuation page",I have had my fair share of passes but not furloughs,,Things are a little worse,,The only thing that I can really find fault with in the army is that some of the officers are just a trifle bit overbearing and unconsiderate. There are a few that you have to be afraid to ask a question of and then there are some that you are perfectly at ease when conversing with them. There is no need no matter how many bars & stars for some of things,"that some of the officers do and say to the enlisted men. Of course to get a few men lined up correctly they have to be tough, but with the rank & file there isn't any need for getting tough etc.",,,,,"The only thing that I can really find fault with in the army is that some of the officers are just a trifle bit overbearing and unconsiderate. There are a few that you have to be afraid to ask a question of and then there are some that you are perfectly at ease when conversing with them. There is no need no matter how many bars & stars for some of things that some of the officers do and say to the enlisted men. Of course to get a few men lined up correctly they have to be tough, but with the rank & file there isn't any need for getting tough etc."
1392,"15868644, 15868648","2521127-17-0367.jpg, 2521127-17-0368.jpg","A document that contains three questions (Q.95, Q.96 and Q.97), A continuation page","No, I have not had my fair share of either furloughs or passes",,Things are a lot better,,"I would not mind being in the army if I were put in a position of place I would be interested in and have ability to do. I don't believe I would ever think of leaving if I were in a division of that type. The privates, in the army has the easiest job, but also get the least amount of freedoms. They push everybody together just to get a ",division started [deletion] know [/deletion] no matter whether they are qualified or unqualified. [paragraph] ,,,,,"I would not mind being in the army if I were put in a position of place I would be interested in and have ability to do. I don't believe I would ever think of leaving if I were in a division of that type. The privates, in the army has the easiest job, but also get the least amount of freedoms. They push everybody together just to get a  division started [deletion] know [/deletion] no matter whether they are qualified or unqualified. [paragraph]"
1393,15868651,2521127-17-0369.jpg,"A document that contains three questions (Q.95, Q.96 and Q.97)",I have had my fair share of furloughs but not passes,,Things are a little worse,,[deletion] I phink [/deletion] I think we should get longer furloughs and longer passes because the men work hard and they deserve them.,,,,,,[deletion] I phink [/deletion] I think we should get longer furloughs and longer passes because the men work hard and they deserve them.
1394,15868657,2521127-17-0370.jpg,"A document that contains three questions (Q.95, Q.96 and Q.97)","Yes, I have had my fair share of both furloughs and passes",,"Things are a little better, but not much",,"I like the Army, but I don't like what I'm in. I would like to opt into the Air Corps.",,,,,,"I like the Army, but I don't like what I'm in. I would like to opt into the Air Corps."
1395,15868661,2521127-17-0371.jpg,"A document that contains three questions (Q.95, Q.96 and Q.97)","No, I have not had my fair share of either furloughs or passes",,Things are a lot worse,,After working hour on drilling hours they give you too many detail to do. We have very little time off at night for baseball or some other sports.,,,,,,After working hour on drilling hours they give you too many detail to do. We have very little time off at night for baseball or some other sports.
1396,"15868665, 15868668","2521127-17-0372.jpg, 2521127-17-0373.jpg","A document that contains three questions (Q.95, Q.96 and Q.97), A continuation page",I have had my fair share of passes but not furloughs,,"Things are a little better, but not much",,The job of classifying men should be done more carefully. I know dozens of men with real talent along war-needed lines of work who are thrown into a job they are in no way fitted for. Ages should be considered - don't throw an older man among a bunch of kids and expect him to be contented and efficient.,Naturally some older men are needed among the young fellows but due care must be taken as D types!,,,,,The job of classifying men should be done more carefully. I know dozens of men with real talent along war-needed lines of work who are thrown into a job they are in no way fitted for. Ages should be considered - don't throw an older man among a bunch of kids and expect him to be contented and efficient. Naturally some older men are needed among the young fellows but due care must be taken as D types!
1397,15868671,2521127-17-0374.jpg,"A document that contains three questions (Q.95, Q.96 and Q.97)",I have had my fair share of passes but not furloughs,,"Things are a little better, but not much",,"There are too many demoralizing rumors. Not enough recreational facilities in the camps themselves, too much sickening monotony. Nothing to look forward to in the future except maybe a transfer. Drill goes on day after day and the only future is possible an injury or death. Sometimes wonder if it's worthwhile. ",,,,,,"There are too many demoralizing rumors. Not enough recreational facilities in the camps themselves, too much sickening monotony. Nothing to look forward to in the future except maybe a transfer. Drill goes on day after day and the only future is possible an injury or death. Sometimes wonder if it's worthwhile."
1398,15868678,2521127-17-0375.jpg,"A document that contains three questions (Q.95, Q.96 and Q.97)","No, I have not had my fair share of either furloughs or passes",,Things are a lot worse,,"Keep the married men home with children & wifes where they are most needed. A family man worries more about his family than he does of getting sent across, his mind is a blank as far as the army work is concerned.",,,,,,"Keep the married men home with children & wifes where they are most needed. A family man worries more about his family than he does of getting sent across, his mind is a blank as far as the army work is concerned."
1399,15868681,2521127-17-0376.jpg,"A document that contains three questions (Q.95, Q.96 and Q.97)","No, I have not had my fair share of either furloughs or passes",,Things are a lot worse,,We are getting too much goat meat. We do not have enough freedom and too many details. Men will leave their barracks and get out of the company tour to avoid detail jobs every night and day. Some of the noncoms curse at the men too much.,,,,,,We are getting too much goat meat. We do not have enough freedom and too many details. Men will leave their barracks and get out of the company tour to avoid detail jobs every night and day. Some of the noncoms curse at the men too much.
1400,15868686,2521127-17-0377.jpg,"A document that contains three questions (Q.95, Q.96 and Q.97)","Yes, I have had my fair share of both furloughs and passes",,Things are a lot worse,,"Most of the men I think could use more time for relaxation and for another thing the men do not have enough adequate weekly physical check ups and many serious mishaps & diseases & deformities, and therefore C.D.D. Discharges could be avoided. This would benefit the Army the Country & the men.",,,,,,"Most of the men I think could use more time for relaxation and for another thing the men do not have enough adequate weekly physical check ups and many serious mishaps & diseases & deformities, and therefore C.D.D. Discharges could be avoided. This would benefit the Army the Country & the men."
1401,"15868691, 15868695","2521127-17-0378.jpg, 2521127-17-0379.jpg","A document that contains three questions (Q.95, Q.96 and Q.97), A continuation page",I have had my fair share of passes but not furloughs,,Things are a lot worse,,"Could do a few things to help morale to comman soldier only can't get in proper channels and only am waiting now for oppertunity. In a general way I'm very skilled in 2 trades. -Musician + card sharp [dective?] . Food is very filty + scarce. badly prepared, from my experience in civil life. U.S. is at fault","for this war very much, damn thrutfully I believe so, and could debate for ever on this.",,,,,"Could do a few things to help morale to comman soldier only can't get in proper channels and only am waiting now for oppertunity. In a general way I'm very skilled in 2 trades. -Musician + card sharp [dective?] . Food is very filty + scarce. badly prepared, from my experience in civil life. U.S. is at fault for this war very much, damn thrutfully I believe so, and could debate for ever on this."
1402,15868700,2521127-17-0380.jpg,"A document that contains three questions (Q.95, Q.96 and Q.97)","Yes, I have had my fair share of both furloughs and passes",,I don't see any difference,,We should have some mail privleage. We don't have any at all here.,,,,,,We should have some mail privleage. We don't have any at all here.
1403,"15868707, 15868712","2521127-17-0381.jpg, 2521127-17-0382.jpg","A document that contains three questions (Q.95, Q.96 and Q.97), A continuation page",I have had my fair share of furloughs but not passes,,Things are a little worse,,to start with I think it is foolishness to ship a man 2500 miles to a camp when he could take the same kind of training at a camp near home he will get enough of staying away when he goes overseas without stations now The food [unclear] [/unclear] could be better here we have sheep and goat meat so often the men holler like sheep when they come in the mess hall Another thing is a man has to ,leave the Barracks when he is off duty to keep from getting some detail thrown at him he cant rest in peace for a minute. Details could also be divided more equally between the men and that goes for guard duty too. I also think that when a man gets a week end pass he should not have to report until Monday morning we have to be back to camp at 1030 Sunday nights and town is about 90 or 100 miles away so it takes him half of Sunday to get back to camp. I sure would like to swimming pools at some of thease camps too. We also have our early training in the cool morning and then they take us out to drill in the heat around noon and supper time and get up so heated up that we cant eat & havent felt like eaten for several days now because I was so worn when chow time came. ,,,,,to start with I think it is foolishness to ship a man 2500 miles to a camp when he could take the same kind of training at a camp near home he will get enough of staying away when he goes overseas without stations now The food [unclear] [/unclear] could be better here we have sheep and goat meat so often the men holler like sheep when they come in the mess hall Another thing is a man has to  leave the Barracks when he is off duty to keep from getting some detail thrown at him he cant rest in peace for a minute. Details could also be divided more equally between the men and that goes for guard duty too. I also think that when a man gets a week end pass he should not have to report until Monday morning we have to be back to camp at 1030 Sunday nights and town is about 90 or 100 miles away so it takes him half of Sunday to get back to camp. I sure would like to swimming pools at some of thease camps too. We also have our early training in the cool morning and then they take us out to drill in the heat around noon and supper time and get up so heated up that we cant eat & havent felt like eaten for several days now because I was so worn when chow time came.
1404,15868719,2521127-17-0383.jpg,"A document that contains three questions (Q.95, Q.96 and Q.97)","No, I have not had my fair share of either furloughs or passes",,I don't see any difference,,"The army does not give me any leisure time at all during Basic Training. We work like horses all day and there is always a good chance of detail at night and week ends. K.P. should be abolished. It is a damn waste of time to a good soldier if he doesn't deserve it. The food in this Company is terrible and living conditions and surroundings are demoralizing. Every soldier should be able to plan on having a certain time off rather than live in fear of a call for ""Volunteers for a work detail"",",,,,,,"The army does not give me any leisure time at all during Basic Training. We work like horses all day and there is always a good chance of detail at night and week ends. K.P. should be abolished. It is a damn waste of time to a good soldier if he doesn't deserve it. The food in this Company is terrible and living conditions and surroundings are demoralizing. Every soldier should be able to plan on having a certain time off rather than live in fear of a call for ""Volunteers for a work detail"","
1405,15868722,2521127-17-0384.jpg,"A document that contains three questions (Q.95, Q.96 and Q.97)","No, I have not had my fair share of either furloughs or passes",,Things are a lot worse,,The food we get is not cooked right. They have muttion about three times a week and the won't hardly eat it. and the officers don't work to gether with the men as much as they should for ex they have a metting at night and the next day they say we have just so much to do. Then tell us very little about it till the time comes. In other words [underline] this [/underline] [underline] is [/underline] [underline] a [/underline] [underline] dam [/underline] [underline] poor [/underline] [underline] outfit [/underline] .,,,,,,The food we get is not cooked right. They have muttion about three times a week and the won't hardly eat it. and the officers don't work to gether with the men as much as they should for ex they have a metting at night and the next day they say we have just so much to do. Then tell us very little about it till the time comes. In other words [underline] this [/underline] [underline] is [/underline] [underline] a [/underline] [underline] dam [/underline] [underline] poor [/underline] [underline] outfit [/underline] .
1406,"15868727, 15868733","2521127-17-0385.jpg, 2521127-17-0386.jpg","A document that contains three questions (Q.95, Q.96 and Q.97), A continuation page","Yes, I have had my fair share of both furloughs and passes",,Things are a lot worse,,"I believe I would be worth more on the outside because I have a bullet in my shoulder and they won't do a thing for me and it bothers me most of the time. The way things stand in my family I am needed badly. This outfit is running the morale of the men so dam [damn] low it is pityful [pitiful] , the reason is because they get to [too] much detail throwed [thrown] at them after duty hour's [hours] and if it is kept up this outfit will go on the rock's [rocks] .","If they keep it up in our next training period they will be lucky to have a company here. This place is run like a military academy instead of a fighting unit. The reason for that is because they don't know what is going to happen from day to day. If I had another chance to get into the fighting forces I would pick the navy or coast Guard because I don't think the men have as much extra work throwed at them. This Fort Leonard wood has a lot to do with the way the men feel, when a certain person said that Fort Leonard wood was little aclatraz he was right all the way. I know that is how I feel about it and most of the other men feel the same way or more. ",,,,,"I believe I would be worth more on the outside because I have a bullet in my shoulder and they won't do a thing for me and it bothers me most of the time. The way things stand in my family I am needed badly. This outfit is running the morale of the men so dam [damn] low it is pityful [pitiful] , the reason is because they get to [too] much detail throwed [thrown] at them after duty hour's [hours] and if it is kept up this outfit will go on the rock's [rocks] . If they keep it up in our next training period they will be lucky to have a company here. This place is run like a military academy instead of a fighting unit. The reason for that is because they don't know what is going to happen from day to day. If I had another chance to get into the fighting forces I would pick the navy or coast Guard because I don't think the men have as much extra work throwed at them. This Fort Leonard wood has a lot to do with the way the men feel, when a certain person said that Fort Leonard wood was little aclatraz he was right all the way. I know that is how I feel about it and most of the other men feel the same way or more."
1407,15868740,2521127-17-0387.jpg,"A document that contains three questions (Q.95, Q.96 and Q.97)",I have had my fair share of furloughs but not passes,,Things are a lot worse,,The reason things are worse for my family is because my wife and children are not getting enough too money too [to] live on because my wife is sickly and there have been a lot of doctor bills besides the high cost of living and she has no folks too go too because her mother is dead and her father is married again.,,,,,,The reason things are worse for my family is because my wife and children are not getting enough too money too [to] live on because my wife is sickly and there have been a lot of doctor bills besides the high cost of living and she has no folks too go too because her mother is dead and her father is married again.
1408,"15868743, 15868747","2521127-17-0388.jpg, 2521127-17-0389.jpg","A document that contains three questions (Q.95, Q.96 and Q.97), A continuation page","Yes, I have had my fair share of both furloughs and passes",,Things are a little worse,,Most of the company officers are fresh out of school and are new at the game and therefore can not inspire too much confidence in their men. Some show a lack of background and don't curb the older noncoms as they should in matters of morality. Some of the noncoms show a complete lack of moral standards which influence greater the young men who are entering into the army., Specialized training classes in basic training are run in a haphazard fashion and most of them to my way of thinking are a waste of time. Those who have the ability to absorb knowledge are being pushed ahead fast enough. Ratings are sometimes handed out because of pull rather than ability. We have no real platoon leader who will go to bat for us and our non coms will not stand up for us. Period.,,,,,Most of the company officers are fresh out of school and are new at the game and therefore can not inspire too much confidence in their men. Some show a lack of background and don't curb the older noncoms as they should in matters of morality. Some of the noncoms show a complete lack of moral standards which influence greater the young men who are entering into the army.  Specialized training classes in basic training are run in a haphazard fashion and most of them to my way of thinking are a waste of time. Those who have the ability to absorb knowledge are being pushed ahead fast enough. Ratings are sometimes handed out because of pull rather than ability. We have no real platoon leader who will go to bat for us and our non coms will not stand up for us. Period.
1409,15868752,2521127-17-0390.jpg,"A document that contains three questions (Q.95, Q.96 and Q.97)",I have had my fair share of furloughs but not passes,"wrong [is written to the left of answer 6, which has been marked and scratched out and there are three X's written to the left of answer 7] ",I don't see any difference,,"All I ask is a fair job, when us boys get out, so we won't have to start a war all over to find a job. & we won't strike either, just have a job so we can make a fair living for our love ones.[paragraph] We all feel the same.",,,,,,"All I ask is a fair job, when us boys get out, so we won't have to start a war all over to find a job. & we won't strike either, just have a job so we can make a fair living for our love ones.[paragraph] We all feel the same."
1410,15868758,2521127-17-0391.jpg,"A document that contains three questions (Q.95, Q.96 and Q.97)",I have had my fair share of passes but not furloughs,,Things are a little worse,,In basic training why is it they send you a long ways from home sometimes instead of close to home so you can enjoy a little time with the family while you have a chance?,,,,,,In basic training why is it they send you a long ways from home sometimes instead of close to home so you can enjoy a little time with the family while you have a chance?
1411,15868762,2521127-17-0392.jpg,"A document that contains three questions (Q.95, Q.96 and Q.97)","Yes, I have had my fair share of both furloughs and passes",,"Things are a little better, but not much",,I think the reception center are too forceful on forcing men to take Cl B (Bonds out) and only leaves soldiers a few dollars. Leave soldier take as much as he wish. There's plenty of civilians to buy bonds. [paragraph] Make them all take Cl N under warrated conditions. [paragraph] Hours are too long. After drill all days + clean Barrack for inspections 1/2 nite.,,,,,,I think the reception center are too forceful on forcing men to take Cl B (Bonds out) and only leaves soldiers a few dollars. Leave soldier take as much as he wish. There's plenty of civilians to buy bonds. [paragraph] Make them all take Cl N under warrated conditions. [paragraph] Hours are too long. After drill all days + clean Barrack for inspections 1/2 nite.
1412,15868765,2521127-17-0393.jpg,"A document that contains three questions (Q.95, Q.96 and Q.97)","Yes, I have had my fair share of both furloughs and passes",,Things are a little worse,,Frankly I don't think I am getting anywhere at all in the Army.[paragraph] I have been in 4 months and am still a pvt [private] . It's probably me though so don't worry about it.,,,,,,Frankly I don't think I am getting anywhere at all in the Army.[paragraph] I have been in 4 months and am still a pvt [private] . It's probably me though so don't worry about it.
