,Zooniverse tag,Expert correspondance,similarity
1404,futureplan,strategicbombing,[[0.8666612]]
1405,futureplans,strategicbombing,[[0.8666612]]
3697,unnatural,aggression,[[0.86655515]]
884,demanding,aggression,[[0.86652243]]
2577,parent,name,[[0.86650807]]
623,citizen,headquarters,[[0.86648494]]
770,concernforworld,confidenceintroops,[[0.86643004]]
3428,subjects,opinions,[[0.8663764]]
2042,manwithaplan,soldierdeposits,[[0.8663723]]
3139,sayinggoodbye,livingconditions,[[0.86636305]]
591,changeneeded,jobsatisfaction,[[0.86620843]]
927,differentperspective,usintheworld,[[0.8661926]]
1592,higherpay,baseunits,[[0.86615825]]
742,commissions,opinions,[[0.86613536]]
2399,notcombatready,usintheworld,[[0.8661015]]
2180,monkey,headquarters,[[0.86607265]]
3092,rude,aggression,[[0.86606365]]
2850,purposed,baseunits,[[0.8660366]]
2744,pow,pows,[[0.86601824]]
1850,kid,yank,[[0.8659538]]
1660,ideology,opinions,[[0.86593395]]
2195,moremanpower,furtherservice,[[0.865832]]
58,action,mission,[[0.8658216]]
317,babyboomers,heavybombardmentgroups,[[0.86581254]]
3121,samejob,chilhood,[[0.8658078]]
422,biologicalresearch,chemicalwarfare,[[0.86566436]]
3606,trenchfoot,basenewspapers,[[0.8656627]]
104,airborneinfantry,postwaropportunities,[[0.86564714]]
3197,servicelife,strategicbombing,[[0.86564076]]
3810,warning,aggression,[[0.8656354]]
3191,serious,aggression,[[0.8656201]]
1054,easternsector,pacifictoughness,[[0.86561835]]
2395,notanswering,usintheworld,[[0.8656168]]
2529,originalplans,baseunits,[[0.8656026]]
2754,predicition,postexchanges,[[0.8655859]]
3369,startup,strategicbombing,[[0.86558044]]
830,crazy,yank,[[0.86556554]]
2869,questionarie,separationcenters,[[0.8655426]]
2802,privileged,duty,[[0.8654933]]
2896,racialtolerance,moraleprogram,[[0.86541325]]
442,bluff,aggression,[[0.8654047]]
3407,strength,efficiency,[[0.86540246]]
3175,selflove,separationcenters,[[0.86538386]]
1746,instructors,headquarters,[[0.8653425]]
2844,puertorico,prideinoutfit,[[0.86532706]]
1871,latehours,chilhood,[[0.8653132]]
1410,gasrations,separationcenters,[[0.8652222]]
1231,fathers,enemies,[[0.865214]]
3184,separate,orientation,[[0.8651874]]
3303,soldierlyadvice,soldierdeposits,[[0.86512333]]
3543,toendallwars,basenewspapers,[[0.86511546]]
2749,practicewhatyoupreach,training,[[0.86511135]]
1132,equalopportunities,postwaropportunities,[[0.86509347]]
1133,equalopportunity,postwaropportunities,[[0.86509347]]
3750,veteran,veterans,[[0.86505866]]
3171,selfimprovment,leadershi,[[0.86504006]]
3758,veterens,basenewspapers,[[0.8650032]]
1638,hotclimate,heavybombardmentgroups,[[0.8649963]]
2038,management,business,[[0.86490005]]
81,africanamerican,pacifictoughness,[[0.8648972]]
82,africanamericans,pacifictoughness,[[0.8648972]]
83,africanamericansoldier,pacifictoughness,[[0.8648972]]
84,africanamericansoldiers,pacifictoughness,[[0.8648972]]
1532,guns,supplies,[[0.86488235]]
1171,experiments,training,[[0.8648075]]
2930,rape,censorship,[[0.8647702]]
3688,units,headquarters,[[0.8647076]]
49,aboutyou,usintheworld,[[0.8646851]]
1717,inexperienced,ups,[[0.86467075]]
145,americafirst,physicalfitness,[[0.86466575]]
1541,handy,yank,[[0.86462235]]
1758,internationalorganization,pacifictoughness,[[0.8646136]]
1045,dust,food,[[0.8646038]]
1794,jealous,soldierdeposits,[[0.8644818]]
3228,shooting,training,[[0.86448103]]
3330,southernofficers,pacifictoughness,[[0.8644777]]
3572,tragicsacrifice,prideinoutfit,[[0.86444527]]
1488,governmentalerts,medicaldispensaries,[[0.8644185]]
3010,religous,reassignment,[[0.86436415]]
3009,religon,reassignment,[[0.86436415]]
1754,interaction,aggression,[[0.86435974]]
3841,weak,aggression,[[0.86435694]]
1202,falseimportance,confidenceinship,[[0.8643344]]
2225,mud,food,[[0.86433166]]
178,anticipation,aggression,[[0.8642937]]
3038,resources,supplies,[[0.86424]]
1216,farfromhome,furloughs,[[0.86421824]]
2617,permission,duty,[[0.86418104]]
722,comission,reccenters,[[0.8641618]]
723,comissionedofficers,reccenters,[[0.8641618]]
3470,systems,business,[[0.86414933]]
3360,stalehomecoming,furloughs,[[0.86414504]]
2881,quitarmy,jobturnover,[[0.86413383]]
2037,man,mess,[[0.8641107]]
1917,lesson,racial,[[0.8641006]]
1963,livefortheday,livetalen,[[0.86395097]]
1278,financialstability,strategicbombing,[[0.8639176]]
2831,prostitute,enemies,[[0.86391145]]
3325,southern,pacifictoughness,[[0.8639014]]
2269,negrosoldier,prideinoutfit,[[0.863841]]
3060,returningfromoverseas,returnees,[[0.86384094]]
2796,privatepractice,strategicbombing,[[0.8638347]]
2423,notraining,usintheworld,[[0.86383235]]
1774,investment,evaluation,[[0.86382973]]
1128,environment,efficiency,[[0.8638009]]
1204,fame,headquarters,[[0.8637296]]
3422,student,orientation,[[0.86368805]]
1789,jackhitchell,furloughs,[[0.8636755]]
1291,fitforduty,specialservices,[[0.8636484]]
1598,hiking,recreation,[[0.8636327]]
1573,healthissues,politicalviews,[[0.86363035]]
1985,longerhours,lengthofservice,[[0.86362994]]
888,democracy,morale,[[0.86361456]]
3443,superiors,orientation,[[0.86359036]]
1549,hardknocks,furloughs,[[0.8635596]]
3116,saltysoldier,chemicalwarfare,[[0.8635432]]
2089,meditation,training,[[0.8635029]]
1186,factory,headquarters,[[0.8634863]]
2835,proudamerican,soldierdeposits,[[0.8634058]]
1458,gohome,chilhood,[[0.8633865]]
861,debt,censorship,[[0.86336523]]
2430,notunequal,usintheworld,[[0.863341]]
1012,doubt,aggression,[[0.86333865]]
1025,dress,mess,[[0.8633188]]
2809,processes,opinions,[[0.8633105]]
434,blacksoldiers,prideinoutfit,[[0.86330724]]
433,blacksoldier,prideinoutfit,[[0.86330724]]
2097,mentalhealth,physicalfitness,[[0.86329275]]
2047,marines,veterans,[[0.86323404]]
43,abandonment,separationcenters,[[0.86320156]]
1979,logic,rules,[[0.8631567]]
2525,orders,headquarters,[[0.8630866]]
491,broadcasttech,newsmaps,[[0.8630191]]
1349,fortbenning,warnews,[[0.8629285]]
1374,friction,efficiency,[[0.8628853]]
109,aircraftmechanic,moraleprogram,[[0.8628318]]
2595,patriotic,orientation,[[0.8627411]]
772,condition,rules,[[0.8627074]]
435,blame,aggression,[[0.86270475]]
2887,racerelations,jobevluation,[[0.86263174]]
1397,futureengineer,strategicbombing,[[0.8626198]]
2006,loyalsoldier,enemyvindictiveness,[[0.8626195]]
3223,shipped,training,[[0.86254627]]
2438,nurses,doctors,[[0.8625101]]
129,allcaps,moraleprogram,[[0.86250985]]
2834,proud,duty,[[0.862502]]
2004,loyal,ups,[[0.86248386]]
3026,request,mission,[[0.8624721]]
2515,opportunity,adjustment,[[0.86242265]]
705,combatcrews,combat,[[0.86238503]]
704,combatcrew,combat,[[0.86238503]]
618,chosenfield,baseunits,[[0.86233425]]
3570,tradition,headquarters,[[0.86231256]]
3637,unclesamdoesn,specialservices,[[0.86227334]]
3636,unclesam,specialservices,[[0.86227334]]
184,anyjob,usintheworld,[[0.8622732]]
2966,recruit,soldierdeposits,[[0.86227196]]
1137,equaltreatment,enemyatrocities,[[0.8622517]]
453,boostmorale,attitudetowardengland,[[0.862234]]
1293,fitnessforexercisingcommand,jobsatisfaction,[[0.8622265]]
1409,gas,orientation,[[0.8621671]]
1185,factories,headquarters,[[0.86216044]]
3362,standards,rules,[[0.86215574]]
1297,fixthedraft,jobturnover,[[0.8621305]]
2422,notqualified,usintheworld,[[0.8621298]]
2638,physicaltraining,physicalfitness,[[0.86209065]]
3061,returninghome,returnees,[[0.8620612]]
3776,volunteer,servicepersonnel,[[0.8619331]]
63,adequate,brief,[[0.86192364]]
3105,sacrifices,supplies,[[0.8618762]]
2902,racistofficers,moraleprogram,[[0.8618535]]
866,decision,opinions,[[0.86185193]]
2870,questionariesforsoldiers,jobsatisfaction,[[0.8618473]]
3273,smallfry,heavybombardmentgroups,[[0.8618295]]
1277,financialaid,businessownership,[[0.86182934]]
1083,emergencyfurlough,jobturnover,[[0.86178315]]
1648,hunt,ups,[[0.86175436]]
499,brothel,censorship,[[0.8617051]]
2427,notsure,usintheworld,[[0.86168754]]
1624,honeymoon,aggression,[[0.86166584]]
2549,overqualified,returnees,[[0.86164236]]
2401,notdumb,usintheworld,[[0.8616309]]
383,betrayal,aggression,[[0.86162686]]
1312,flyingpay,moraleprogram,[[0.8614818]]
3031,resenntment,jobevluation,[[0.8614768]]
3137,saving,rotation,[[0.86146104]]
2607,peaceandquiet,warindustries,[[0.8614538]]
652,civilianwear,medicalcare,[[0.86144507]]
328,badgrammar,strategicbombing,[[0.8614298]]
1546,happyvet,livingconditions,[[0.86142033]]
1941,lifelibertyandhappiness,homefront,[[0.86141914]]
1479,goodshape,jobevluation,[[0.8613522]]
3117,salute,soldierdeposits,[[0.8613447]]
570,casualcompany,physicalfitness,[[0.8612463]]
2267,negroquestion,moraleprogram,[[0.8612287]]
1545,happysoldier,livingconditions,[[0.86116946]]
3796,wardept,hospitalfacilities,[[0.8611498]]
554,capitalism,censorship,[[0.86109924]]
2065,mechanicschool,chemicalwarfare,[[0.86108845]]
1110,enlistedlife,moraleprogram,[[0.8610839]]
1496,govloan,basenewspapers,[[0.8610628]]
641,civilianlife,moraleprogram,[[0.860975]]
3718,uppermanagement,baseunits,[[0.8609249]]
3747,verbalabuse,physicalfitness,[[0.86091703]]
642,civilianpay,strategicbombing,[[0.8608901]]
2664,platoonsergeant,officertraining,[[0.86088645]]
2568,paint,training,[[0.8608835]]
2660,plansnotchanged,jobsatisfaction,[[0.8608591]]
1242,fearofretaliation,confidenceintroops,[[0.8607919]]
167,anger,aggression,[[0.8607668]]
1044,durationbill,lengthofservice,[[0.86074126]]
1670,illness,censorship,[[0.8607384]]
3127,sanitary,orientation,[[0.86071974]]
817,countdowntoretirement,armytalks,[[0.86071354]]
1153,evalgelism,furloughs,[[0.8607075]]
1610,homelife,medicalcare,[[0.86067194]]
900,deployment,training,[[0.86062753]]
3056,return,returnees,[[0.86056995]]
883,delays,censorship,[[0.8605207]]
3503,technology,business,[[0.86048865]]
496,brokenpromises,enemyvindictiveness,[[0.8604834]]
1217,farm,headquarters,[[0.8604595]]
3166,selectiveservice,furtherservice,[[0.8604532]]
3165,selectiveservce,furtherservice,[[0.8604532]]
3115,salty,food,[[0.8604262]]
2021,maintenance,equipment,[[0.8603957]]
1362,frankieandeleanor,usintheworld,[[0.8603664]]
3337,specialistschool,specialservices,[[0.8603646]]
2218,movie,films,[[0.86035615]]
1455,goarmy,chilhood,[[0.86035216]]
3342,specialtreatment,armytalks,[[0.8603363]]
526,busservice,warnews,[[0.86031324]]
1829,joingovernment,chilhood,[[0.8602917]]
597,chasingsuccess,workingwithcivilians,[[0.8602905]]
3392,stickwithit,workingwithcivilians,[[0.8602848]]
276,asaworker,strategicbombing,[[0.86023366]]
3548,tooeasy,usintheworld,[[0.8602103]]
1550,hardshipofwar,jobturnover,[[0.860134]]
1585,hero,soldierdeposits,[[0.8601079]]
477,breaks,rules,[[0.86008835]]
1327,fordemocracy,specialservices,[[0.8600789]]
1011,doublehours,heavybombardmentgroups,[[0.860051]]
3410,stretchingthesamesentencetoreachwordlimi,livingconditions,[[0.8599671]]
309,autonomy,morale,[[0.85992026]]
700,combat-readiness,combat,[[0.8598932]]
3555,toooldforflying,usintheworld,[[0.8598922]]
3554,tooold,usintheworld,[[0.8598922]]
2608,peaceful,aggression,[[0.85987717]]
3523,thefew,baseunits,[[0.85984755]]
3761,vetsatuni,jobevluation,[[0.8597909]]
3055,retreat,surrender,[[0.85965574]]
2146,misallocation,chilhood,[[0.8596538]]
2616,perminentresidence,reccenters,[[0.8596338]]
2564,pack,headquarters,[[0.8595898]]
2276,neutral,orientation,[[0.8595227]]
687,coldwar,heavybombardmentgroups,[[0.8595134]]
2847,punishment,aggression,[[0.8594735]]
3389,steamed,orientation,[[0.8594116]]
3767,vision,training,[[0.85939175]]
1658,ideasforthegovernment,politicalviews,[[0.8593807]]
1529,gun,headquarters,[[0.8593739]]
1474,goodmanagement,billeting,[[0.85934734]]
62,additionaltraining,furtherservice,[[0.8593318]]
2357,noncombatant,noncoms,[[0.8592813]]
3108,sadness,aggression,[[0.8592786]]
2046,marinecorps,medicalcare,[[0.8592585]]
3022,replacements,rules,[[0.85923755]]
1147,ethics,opinions,[[0.8592175]]
3163,selection,orientation,[[0.8591973]]
69,advancement,discipline,[[0.85919416]]
2211,motion,rotation,[[0.85915434]]
3553,toomuchwork,usintheworld,[[0.85914713]]
3552,toomuchdrilling,usintheworld,[[0.85914713]]
920,development,training,[[0.85912085]]
801,convalescentfurlough,reccenters,[[0.8591181]]
800,convalescence,reccenters,[[0.8591181]]
1223,farmlife,medicalcare,[[0.85909814]]
462,boss,mess,[[0.8590765]]
600,chef,ups,[[0.8590118]]
1742,institutional,orientation,[[0.8589675]]
1500,graduatestudy,leadershi,[[0.8589372]]
3069,revenge,aggression,[[0.8588555]]
3724,usconstitution,jobevluation,[[0.85880536]]
189,appointment,orientation,[[0.858793]]
3416,stronger,aggression,[[0.8587918]]
3491,taxpayermoney,soldierdeposits,[[0.8587681]]
2480,olddogs,furloughs,[[0.85875964]]
322,backwards,aggression,[[0.85875446]]
1124,entitledofficers,furtherservice,[[0.8587105]]
2138,mindonwhatmatters,basenewspapers,[[0.8586759]]
1023,dreamjob,jobturnover,[[0.8586521]]
1401,futurejobs,prideinoutfit,[[0.8586397]]
1400,futurejob,prideinoutfit,[[0.8586397]]
2787,prison,barracks,[[0.85862684]]
378,bequiet,chilhood,[[0.8586135]]
1883,laziness,basenewspapers,[[0.85852265]]
463,boston,honolulu,[[0.85849214]]
2210,mothers,duty,[[0.8584664]]
894,dentistry,dentalcare,[[0.8583907]]
2753,precombateanxiety,postexchanges,[[0.858374]]
1192,faint,brief,[[0.8583509]]
1164,exercise,training,[[0.85832983]]
2178,money,food,[[0.85830504]]
334,badpay,heavybombardmentgroups,[[0.8583026]]
335,badpaysystem,heavybombardmentgroups,[[0.8583026]]
1926,liberatedpow,strategicbombing,[[0.8582531]]
1803,job,mess,[[0.8582306]]
1279,finetreatment,furloughs,[[0.8582142]]
2521,options,adjustment,[[0.85821027]]
2968,recruits,veterans,[[0.85820955]]
91,age36,age,[[0.8581549]]
2771,previousemployment,currentevents,[[0.85814595]]
2826,promoting,training,[[0.85814583]]
674,clotheme,jobsatisfaction,[[0.85813034]]
1443,girls,men,[[0.85809994]]
492,broke,ups,[[0.858007]]
3024,representationmatters,transferaccountplan,[[0.8579587]]
1013,downtime,timeoff,[[0.85790825]]
2951,realistic,orientation,[[0.85790247]]
3403,strain,rotation,[[0.85790163]]
757,competitive,discipline,[[0.8578655]]
1955,limitingpower,redistributionstations,[[0.8578089]]
832,crime,censorship,[[0.85777307]]
2282,newcity,strategicbombing,[[0.85775596]]
1141,erc,transferaccountplan,[[0.85771453]]
1179,eyecomplications,moraleprogram,[[0.8576652]]
1442,girlfriend,enemies,[[0.8576609]]
1041,dumbgovernment,heavybombardmentgroups,[[0.85761607]]
2998,relationship,aggression,[[0.85757697]]
3242,simpleman,specialservices,[[0.85757476]]
3835,wastetime,jobturnover,[[0.85756826]]
1079,eligibility,mission,[[0.8575591]]
3752,veteranlife,moraleprogram,[[0.85750765]]
3421,stuck,ups,[[0.85750437]]
2441,objections,opinions,[[0.8574026]]
1256,fieldhours,heavybombardmentgroups,[[0.85738933]]
527,busywork,jobturnover,[[0.857385]]
613,china,japan,[[0.85731995]]
1957,liquor,food,[[0.8573178]]
2109,metacommentary,strategicbombing,[[0.8573029]]
154,americanlegion,britishpapers,[[0.8572874]]
3204,servingthecountry,soldierdeposits,[[0.857238]]
3333,space,food,[[0.85723394]]
732,commentsmatter,attitudetowardengland,[[0.8571887]]
1478,goods,clothing,[[0.85718095]]
3123,samewar,furloughs,[[0.85717696]]
3816,warrantofficer,baseunits,[[0.8570289]]
530,buyingahouse,specialservices,[[0.8570237]]
2899,racism,segregation,[[0.85701025]]
1975,loans,training,[[0.8569751]]
3007,religionoverrace,separationcenters,[[0.85688835]]
1215,fancyjobs,prideinoutfit,[[0.85687864]]
3293,sojourner,chilhood,[[0.85685647]]
2578,parents,headquarters,[[0.8568351]]
1752,intelligent,efficiency,[[0.85680705]]
51,abused,aggression,[[0.8568052]]
2026,makesomeonepay,jobsatisfaction,[[0.85676974]]
765,comrades,allies,[[0.8567662]]
3396,stockade,armytalks,[[0.8567585]]
2099,mentalstress,physicalfitness,[[0.8567468]]
1369,freedoms,attitudes,[[0.85674095]]
1856,knowledge,efficiency,[[0.85664564]]
205,army,armyinsurance,[[0.85664517]]
643,civilianpractices,soldierdeposits,[[0.85663396]]
644,civilianpride,soldierdeposits,[[0.85663396]]
1118,entepreneur,entalhealth,[[0.85657454]]
880,delay,censorship,[[0.8565486]]
858,death,food,[[0.85651296]]
1834,judged,rotation,[[0.8565004]]
1051,eager,aggression,[[0.8564768]]
1841,justpigment,usintheworld,[[0.8564724]]
844,customs,censorship,[[0.8564684]]
3044,restarting,timeoff,[[0.8563938]]
3275,smartguy,attitudetowardengland,[[0.85637665]]
1066,educationforsoldiers,militarypolice,[[0.85635984]]
2864,question,training,[[0.85630745]]
1148,ethnicity,minorities,[[0.85628134]]
2793,privacy,aggression,[[0.8562665]]
1622,honestopinion,usintheworld,[[0.85625196]]
3619,truck,orientation,[[0.8562188]]
2653,planes,headquarters,[[0.8562187]]
176,answers,rules,[[0.8562082]]
2041,manufacturing,training,[[0.856191]]
854,dating,orientation,[[0.85616475]]
2149,misery,enemies,[[0.8561543]]
1209,familybusiness,branchofservice,[[0.8560947]]
3725,useful,furtherservice,[[0.85606754]]
3028,requests,opinions,[[0.8560519]]
3851,weekendbreak,jobturnover,[[0.8560383]]
793,content,information,[[0.8559521]]
1017,draftboards,redistributionstations,[[0.8559508]]
1730,initiative,programpreferences,[[0.85589147]]
325,badconditions,heavybombardmentgroups,[[0.85589105]]
3956,youmatter,usintheworld,[[0.8557933]]
640,civilianlabor,militarypolice,[[0.8557683]]
2498,onpar,furtherservice,[[0.85576594]]
3580,trainyoungermen,jobturnover,[[0.8557321]]
3781,wages,morale,[[0.8557013]]
2658,planschange,opinions,[[0.8556626]]
2659,planschanged,opinions,[[0.8556626]]
3424,studies,training,[[0.85561246]]
1047,dutybound,homefront,[[0.8555877]]
3607,trends,attitudes,[[0.8555697]]
2063,mechanic,training,[[0.8554847]]
2299,newplans,furtherservice,[[0.85547006]]
2158,missinghome,livingconditions,[[0.85537183]]
183,anxious,aggression,[[0.85536635]]
566,caregiver,medicalcare,[[0.85534656]]
1122,enthusiastic,ups,[[0.85534644]]
1026,dresscode,attitudetowardengland,[[0.8553196]]
1691,inconsistent,brief,[[0.85531306]]
3535,thrill,aggression,[[0.8552729]]
3708,unrest,censorship,[[0.85527164]]
441,bluefalcon,heavybombardmentgroups,[[0.8552073]]
1942,lifeofasolider,livingconditions,[[0.8551917]]
3464,swearing,aggression,[[0.85517764]]
3195,serviceclub,baseunits,[[0.8551436]]
3196,serviceclubs,baseunits,[[0.8551436]]
74,advice,opinions,[[0.85508156]]
773,conditions,rules,[[0.8550614]]
913,desire,sex,[[0.855036]]
1765,interupted,reccenters,[[0.8550235]]
1766,interuption,reccenters,[[0.8550235]]
461,boring,food,[[0.85499305]]
943,disatisfied,reccenters,[[0.8549658]]
3452,support,training,[[0.8549432]]
1491,governmentjob,militarypolice,[[0.85491836]]
1584,helpthecountry,jobpreference,[[0.85486627]]
2386,northandsouth,redcross,[[0.8548564]]
159,americanspirit,blacks,[[0.8548391]]
2474,officials,doctors,[[0.8548269]]
2226,multilingual,redistributionstations,[[0.85481286]]
438,blitzkrieg,heavybombardmentgroups,[[0.8547729]]
3231,shortandtothepoint,lengthofservice,[[0.854735]]
808,corporation,business,[[0.85471135]]
3698,unnecessarytraining,retraining,[[0.8547008]]
1623,honesty,aggression,[[0.85461086]]
2798,privatesector,physicalfitness,[[0.8545768]]
1757,internationalcontroversy,strategicbombing,[[0.85457516]]
333,badpasses,heavybombardmentgroups,[[0.85454655]]
504,brownnose,redcross,[[0.854546]]
3207,settled,ups,[[0.8545287]]
2035,malassignment,malary,[[0.85447836]]
911,deservebetter,usintheworld,[[0.8544728]]
2140,mining,censorship,[[0.8544571]]
2997,relations,opinions,[[0.85443354]]
3848,wedding,headquarters,[[0.8544009]]
2421,notourproblem,usintheworld,[[0.8543456]]
3153,seat,baseunits,[[0.85431725]]
849,danger,enemies,[[0.85429347]]
780,confident,confidenceintroops,[[0.8542648]]
614,chinese,japanese,[[0.85423183]]
1480,goodsoldier,jobsatisfaction,[[0.854223]]
2527,organizations,magazines,[[0.85419977]]
1890,leadership,morale,[[0.8541744]]
1084,emotion,aggression,[[0.8541658]]
2266,negroofficer,specialservices,[[0.85412943]]
2794,private,brief,[[0.85410166]]
1093,endwar,warfinformation,[[0.8541009]]
3442,superior,headquarters,[[0.8540939]]
2152,misleading,aggression,[[0.85407794]]
3170,selfexpression,jobpreference,[[0.8540654]]
2114,midwest,orientation,[[0.8540338]]
748,communism,segregation,[[0.8540259]]
1862,lacking,orientation,[[0.85401726]]
3909,workethic,jobpreference,[[0.85401666]]
624,citizens,headquarters,[[0.85398555]]
1759,internationalrelations,pacifictoughness,[[0.8539582]]
3469,system,headquarters,[[0.85391855]]
3727,usefulness,efficiency,[[0.8539057]]
1253,feverandsickness,warweek,[[0.85389745]]
1350,fortbragg,billeting,[[0.8538954]]
3157,security,headquarters,[[0.853842]]
3753,veteranownedbusiness,moraleprogram,[[0.8538392]]
413,bigger,orientation,[[0.8538063]]
1646,humor,food,[[0.853806]]
138,almostanofficer,soldierdeposits,[[0.85378677]]
2407,notfair,enemyatrocities,[[0.8537774]]
1777,inwiththeyoung,furtherservice,[[0.8537746]]
1081,embalming,furloughs,[[0.8537661]]
660,ckc,wac,[[0.8537585]]
2682,polishedreview,physicalfitness,[[0.8537431]]
192,apprentice,training,[[0.853618]]
2117,military,militarypolice,[[0.8535849]]
587,changecareer,redistributionstations,[[0.8535603]]
1200,fakeillnesses,attitudetowardengland,[[0.85350704]]
2373,nopostwarplan,baseunits,[[0.8534848]]
871,deepsouth,physicalfitness,[[0.85347724]]
2948,realestate,physicalfitness,[[0.8534544]]
1000,doingtheimpossible,workingwithcivilians,[[0.85344326]]
1298,fixthis,jobpreference,[[0.8534147]]
2479,oldarmy,furloughs,[[0.8533684]]
3943,wrongjobs,jobpreference,[[0.85333836]]
2808,problems,evaluation,[[0.8532898]]
428,blacklives,basenewspapers,[[0.85327923]]
426,bitter,brief,[[0.8532711]]
1237,faultychainofcommand,attitudetowardengland,[[0.85316056]]
1499,graduateschool,jobsatisfaction,[[0.85308784]]
1563,hatesarmy,enemyatrocities,[[0.8530546]]
3897,withholding,separationcenters,[[0.8530203]]
598,cheated,aggression,[[0.85289526]]
1530,gungho,jobevluation,[[0.8528276]]
3209,settledown,workingwithcivilians,[[0.8528216]]
3284,socialife,mediainfluence,[[0.8527393]]
169,angryatofficers,soldierdeposits,[[0.8527385]]
1493,governmentresponsibility,militarypolice,[[0.8527038]]
405,bettertraining,moraleprogram,[[0.85266155]]
3070,reward,discipline,[[0.85264945]]
2524,order,headquarters,[[0.85264623]]
2518,opticalwork,equipment,[[0.85258394]]
3202,servicetime,leisuretime,[[0.8525835]]
3036,resetcamps,redistributionstations,[[0.8525764]]
1940,lifelessons,soldierdeposits,[[0.8525289]]
1274,financeindependent,chemicalwarfare,[[0.85247827]]
1370,freespeech,leadershi,[[0.85239446]]
456,boots,clothing,[[0.8523607]]
1722,inferior,orientation,[[0.85234416]]
960,disease,censorship,[[0.8523376]]
1408,gains,ups,[[0.85221785]]
1176,extensions,opinions,[[0.8521423]]
3062,returningsoldier,returnees,[[0.8521141]]
2161,missionmen,specialservices,[[0.8521081]]
1229,fatherfigure,soldierdeposits,[[0.8520942]]
3833,wasteofresources,usintheworld,[[0.85208344]]
3832,wasteofmoney,usintheworld,[[0.85208344]]
942,disappointment,aggression,[[0.8520736]]
3014,renewing,livingconditions,[[0.8520732]]
2819,progression,rotation,[[0.8520267]]
2179,moneyedman,physicalfitness,[[0.85201824]]
3756,veteransadministration,strategicbombing,[[0.85197765]]
1989,longtimevolunteer,moraleprogram,[[0.85196406]]
1710,ineffective,postwar,[[0.8519244]]
1106,enjoylife,leisuretime,[[0.8518721]]
3408,stress,aggression,[[0.85181296]]
3322,southamerica,overseascombat,[[0.8517981]]
3849,weddingbells,jobturnover,[[0.8517639]]
3131,satisfaction,confidenceintroops,[[0.85159075]]
2336,nofaith,basenewspapers,[[0.851503]]
3888,winningthewar,livingconditions,[[0.85145545]]
2956,reasonforwar,confidenceintroops,[[0.8514422]]
2635,physicallyhurt,physicalfitness,[[0.85143113]]
1676,improperhandling,separationcenters,[[0.8514277]]
3937,worthwile,warfinformation,[[0.85137886]]
510,buffalosoldiers,pacifictoughness,[[0.85136265]]
3259,skilltransfersoldiertocivilian,attitudetowardengland,[[0.85134804]]
3368,startsearching,returnees,[[0.85132873]]
2540,outwiththeold,workingwithcivilians,[[0.851317]]
1666,ignored,rotation,[[0.85125345]]
1009,dosomething,jobevluation,[[0.8512497]]
1863,lackofseriousness,lengthofservice,[[0.8512205]]
1347,fort,headquarters,[[0.8511872]]
3239,signalcompany,comabtflying,[[0.8511595]]
326,badfood,heavybombardmentgroups,[[0.8511584]]
1854,kingofbattle,soldierdeposits,[[0.85115445]]
1055,easylife,prideinoutfit,[[0.8511181]]
1968,living_day_by_day,livingconditions,[[0.8511157]]
3316,solider,specialservices,[[0.8511039]]
905,depression,censorship,[[0.8510283]]
2880,quinine,basenewspapers,[[0.8510266]]
836,crow,starsandstripes,[[0.85100925]]
282,assignments,training,[[0.85100055]]
718,combatzones,combat,[[0.850978]]
359,bayonet,prideinoutfit,[[0.8509582]]
1151,europeantheater,pacifictoughness,[[0.85093427]]
589,changeinleadership,fightinfacts,[[0.8509022]]
1855,kitchenpatrol,food,[[0.8508669]]
813,cost,efficiency,[[0.8508552]]
2283,newdeal,strategicbombing,[[0.85083497]]
3076,rifles,weapons,[[0.8508333]]
2654,plannedout,baseunits,[[0.85083276]]
421,billyrosemillionaire,redcross,[[0.8508258]]
3327,southerncamps,pacifictoughness,[[0.85082304]]
965,disgust,aggression,[[0.85081893]]
731,comments,opinions,[[0.85081327]]
1377,friendship,aggression,[[0.8507831]]
3791,war,warindustries,[[0.85066354]]
1655,iartc,comabtflying,[[0.85064924]]
1490,governmentbenefits,militarypolice,[[0.8506177]]
2565,packages,supplies,[[0.8505504]]
3211,settlingdown,workingwithcivilians,[[0.85049975]]
1945,lifeplans,medicalcare,[[0.85048294]]
3590,transportationservice,strategicbombing,[[0.85046995]]
663,classification,discipline,[[0.8504565]]
1159,examinations,evaluation,[[0.8503892]]
452,books,publications,[[0.850389]]
3765,violence,censorship,[[0.85038275]]
3413,strikers,headquarters,[[0.8503735]]
1268,fightordie,livetalen,[[0.8503362]]
2514,opportunities,benefits,[[0.8503344]]
1781,ishouldnthavetofightformyrights,usintheworld,[[0.85032976]]
1840,justicesystem,leadershi,[[0.8503242]]
1037,drunk,soldierdeposits,[[0.85028297]]
2773,previousservice,currentevents,[[0.85019195]]
595,changeyourmind,leadershi,[[0.8501221]]
2314,nextgeneration,strategicbombing,[[0.85010695]]
1373,freshstart,homefront,[[0.8500893]]
1684,income,efficiency,[[0.8500872]]
3680,uninformative,entalhealth,[[0.8500738]]
592,changeofplans,lengthofservice,[[0.85006773]]
3510,test,rules,[[0.85000193]]
1420,german,germany,[[0.8499923]]
1967,livewhereiwant,livetalen,[[0.84991145]]
